Rod-and-frame experiment by Bart Alberts and Wim Verhagen, Sensorimotorlab Nijmegen 
Rod-and-frame task: a rod-and-frame stimulus is presented, and the participant has to indicate whether the rod is tilted counterclockwise (left arrow key, response=-1) or clockwise (right arrow key, response=1) with respect to the gravitational vertical.

subjectNr = 5;
nRepetitions = 10;
condition = tilt15;
location = v;
expDate = 2016_Feb_25_1106;
viewDistance_cm = 57;
-35.0 15.5 1.0 0.40
15.0 -14.5 -1.0 0.37
5.0 -9.5 -1.0 0.50
-5.0 10.5 1.0 0.41
-30.0 0.5 -1.0 0.89
-35.0 5.5 1.0 0.69
-15.0 5.5 1.0 0.47
-10.0 -1.5 -1.0 0.40
-30.0 5.5 1.0 0.52
30.0 5.5 1.0 0.51
-10.0 10.5 1.0 0.50
0.0 15.5 1.0 0.46
0.0 -1.5 -1.0 0.42
25.0 -14.5 -1.0 0.46
-20.0 5.5 1.0 0.42
-35.0 -9.5 -1.0 0.38
-30.0 -14.5 -1.0 0.39
5.0 15.5 1.0 0.39
-15.0 -1.5 -1.0 0.45
-25.0 2.5 -1.0 0.53
-45.0 -14.5 -1.0 0.45
15.0 10.5 1.0 0.47
10.0 0.5 -1.0 0.57
-10.0 0.5 1.0 0.53
30.0 -1.5 -1.0 0.52
20.0 -1.5 -1.0 0.53
-25.0 0.5 -1.0 0.56
40.0 5.5 -1.0 0.45
40.0 15.5 1.0 0.36
-25.0 -4.5 -1.0 0.72
15.0 0.5 -1.0 0.54
-30.0 15.5 1.0 0.38
-5.0 -4.5 -1.0 0.50
-40.0 -1.5 -1.0 0.49
10.0 -1.5 -1.0 0.42
40.0 0.5 -1.0 0.46
-5.0 0.5 -1.0 0.42
20.0 5.5 -1.0 0.48
30.0 2.5 -1.0 0.48
5.0 5.5 1.0 0.48
-40.0 2.5 1.0 0.54
15.0 2.5 -1.0 0.46
35.0 0.5 -1.0 0.57
-45.0 2.5 -1.0 0.41
30.0 15.5 1.0 0.35
-30.0 -9.5 -1.0 0.43
-30.0 -1.5 -1.0 0.52
-40.0 15.5 1.0 0.34
-10.0 -9.5 -1.0 0.40
30.0 5.5 1.0 0.55
-20.0 10.5 1.0 0.46
40.0 5.5 1.0 0.45
-45.0 5.5 1.0 0.50
-20.0 5.5 1.0 0.53
-35.0 2.5 1.0 0.54
-25.0 15.5 1.0 0.48
40.0 15.5 1.0 0.43
-35.0 15.5 1.0 0.36
15.0 15.5 1.0 0.37
-5.0 -1.5 -1.0 0.65
-30.0 -14.5 -1.0 0.35
5.0 -14.5 -1.0 0.39
0.0 -14.5 -1.0 0.38
-15.0 -9.5 -1.0 0.49
-40.0 5.5 1.0 0.77
-45.0 -9.5 -1.0 0.36
20.0 -4.5 -1.0 0.41
0.0 -9.5 -1.0 0.43
0.0 -1.5 -1.0 0.64
15.0 5.5 1.0 0.79
35.0 -4.5 -1.0 0.49
20.0 -1.5 -1.0 0.42
-20.0 -14.5 -1.0 0.43
-10.0 2.5 1.0 0.46
-10.0 0.5 1.0 0.48
-5.0 5.5 1.0 0.43
-40.0 -4.5 -1.0 0.42
-25.0 -14.5 -1.0 0.37
0.0 0.5 -1.0 0.66
-30.0 15.5 1.0 0.40
-40.0 0.5 -1.0 0.43
-25.0 5.5 1.0 0.44
-15.0 10.5 1.0 0.40
35.0 5.5 1.0 0.56
25.0 15.5 1.0 0.38
25.0 0.5 -1.0 0.75
10.0 5.5 1.0 0.66
20.0 -9.5 -1.0 0.41
-30.0 0.5 1.0 0.65
30.0 -14.5 -1.0 0.35
30.0 0.5 1.0 1.14
10.0 -1.5 -1.0 0.31
15.0 -1.5 -1.0 0.39
35.0 10.5 1.0 0.40
-5.0 15.5 1.0 0.32
5.0 0.5 -1.0 0.41
-30.0 10.5 1.0 0.31
5.0 -4.5 -1.0 0.41
-10.0 -1.5 -1.0 0.32
-20.0 -4.5 -1.0 0.38
0.0 -4.5 -1.0 0.39
20.0 -14.5 -1.0 0.37
-5.0 0.5 1.0 0.49
40.0 0.5 -1.0 0.39
25.0 2.5 1.0 0.35
25.0 -14.5 -1.0 0.38
-35.0 -14.5 -1.0 0.36
40.0 10.5 1.0 0.36
-35.0 0.5 -1.0 0.45
40.0 -14.5 -1.0 0.37
40.0 -1.5 1.0 0.48
25.0 5.5 1.0 0.57
30.0 -1.5 1.0 0.42
15.0 -9.5 -1.0 0.60
35.0 -9.5 -1.0 0.42
10.0 -14.5 -1.0 0.38
-5.0 10.5 1.0 0.40
-10.0 5.5 1.0 0.35
-20.0 0.5 1.0 0.39
15.0 -4.5 -1.0 0.51
20.0 0.5 -1.0 0.49
30.0 -9.5 -1.0 0.40
-35.0 5.5 1.0 0.54
10.0 2.5 -1.0 0.62
30.0 2.5 -1.0 0.80
10.0 15.5 1.0 0.37
-30.0 -4.5 -1.0 0.49
0.0 10.5 1.0 0.36
30.0 10.5 1.0 0.41
-10.0 -4.5 -1.0 0.64
5.0 -9.5 -1.0 0.48
-40.0 -9.5 -1.0 0.50
-25.0 -9.5 -1.0 0.53
25.0 -4.5 -1.0 0.45
-15.0 -14.5 -1.0 0.55
-40.0 -1.5 -1.0 0.60
-15.0 -4.5 -1.0 0.47
10.0 0.5 -1.0 0.48
25.0 10.5 1.0 0.77
40.0 2.5 1.0 0.77
20.0 2.5 -1.0 0.56
-45.0 -1.5 -1.0 0.56
-45.0 -4.5 -1.0 0.43
10.0 -4.5 -1.0 0.37
-5.0 2.5 1.0 0.64
-10.0 10.5 1.0 0.39
10.0 -9.5 -1.0 0.43
20.0 5.5 -1.0 1.11
-30.0 2.5 -1.0 0.59
-30.0 5.5 1.0 0.54
5.0 15.5 1.0 0.37
0.0 15.5 1.0 0.39
35.0 2.5 -1.0 0.53
-25.0 10.5 1.0 0.39
-5.0 -9.5 -1.0 0.45
20.0 10.5 1.0 0.34
0.0 2.5 1.0 0.43
-35.0 -4.5 -1.0 0.49
-10.0 -14.5 -1.0 0.35
-15.0 15.5 1.0 0.37
-35.0 -1.5 -1.0 0.32
-35.0 -9.5 -1.0 0.39
40.0 -9.5 -1.0 0.34
10.0 10.5 1.0 0.28
5.0 -1.5 -1.0 0.39
-45.0 -14.5 -1.0 0.37
5.0 2.5 1.0 0.50
-15.0 2.5 1.0 0.43
-45.0 0.5 -1.0 0.30
-25.0 2.5 -1.0 0.50
-40.0 -14.5 -1.0 0.42
-25.0 -4.5 -1.0 0.43
20.0 15.5 1.0 0.33
-15.0 5.5 1.0 0.35
-45.0 10.5 1.0 0.52
-15.0 0.5 1.0 0.62
-20.0 2.5 1.0 0.63
5.0 10.5 1.0 0.46
35.0 -14.5 -1.0 0.54
-45.0 15.5 1.0 0.39
-5.0 -4.5 -1.0 0.36
-5.0 -14.5 -1.0 0.37
5.0 5.5 1.0 0.49
30.0 -4.5 -1.0 0.37
35.0 -1.5 -1.0 0.44
25.0 -1.5 -1.0 0.45
-40.0 2.5 -1.0 0.58
-25.0 -1.5 -1.0 0.39
25.0 -9.5 -1.0 0.57
-20.0 -9.5 -1.0 0.39
-20.0 -1.5 -1.0 0.36
15.0 0.5 -1.0 0.34
-40.0 10.5 1.0 0.39
15.0 10.5 1.0 0.40
15.0 -14.5 -1.0 0.48
35.0 15.5 1.0 0.33
40.0 -4.5 -1.0 0.42
-15.0 -1.5 -1.0 0.39
0.0 5.5 1.0 0.40
-20.0 15.5 1.0 0.43
-35.0 10.5 1.0 0.37
-25.0 0.5 -1.0 0.71
-10.0 15.5 1.0 0.49
-35.0 -14.5 -1.0 0.38
-15.0 15.5 1.0 0.34
30.0 -1.5 -1.0 0.40
15.0 10.5 1.0 0.32
20.0 0.5 -1.0 0.71
-10.0 -4.5 -1.0 0.49
20.0 5.5 1.0 0.40
-5.0 10.5 1.0 0.49
-10.0 0.5 -1.0 0.36
-40.0 10.5 1.0 0.55
-40.0 -9.5 -1.0 0.35
35.0 2.5 -1.0 0.63
5.0 10.5 1.0 0.40
-20.0 -14.5 -1.0 0.32
-5.0 15.5 1.0 0.30
20.0 -9.5 -1.0 0.28
-20.0 0.5 -1.0 0.35
-35.0 -4.5 -1.0 0.34
-20.0 -1.5 -1.0 0.38
40.0 -1.5 -1.0 0.29
-30.0 10.5 1.0 0.35
-45.0 2.5 1.0 0.51
-40.0 0.5 -1.0 0.27
-10.0 -1.5 1.0 0.52
40.0 -4.5 -1.0 0.32
30.0 2.5 -1.0 0.30
40.0 0.5 -1.0 0.40
40.0 10.5 1.0 0.41
0.0 15.5 1.0 0.32
-15.0 5.5 1.0 0.38
40.0 -9.5 -1.0 0.30
30.0 10.5 1.0 0.37
20.0 -14.5 -1.0 0.32
-30.0 -9.5 -1.0 0.44
5.0 -1.5 -1.0 0.44
10.0 -4.5 -1.0 0.34
30.0 -14.5 -1.0 0.31
-40.0 -14.5 -1.0 0.35
10.0 -9.5 -1.0 0.30
20.0 -4.5 -1.0 0.32
0.0 5.5 1.0 0.43
15.0 5.5 1.0 0.37
-20.0 15.5 1.0 0.38
40.0 -14.5 -1.0 0.34
10.0 0.5 -1.0 0.83
35.0 -14.5 -1.0 0.36
35.0 -4.5 -1.0 0.39
-20.0 5.5 1.0 0.77
-25.0 2.5 -1.0 0.62
35.0 0.5 -1.0 0.35
-20.0 -9.5 -1.0 0.33
-25.0 10.5 1.0 0.49
-40.0 2.5 -1.0 0.40
-5.0 -4.5 -1.0 0.41
0.0 -14.5 -1.0 0.42
25.0 5.5 1.0 0.97
0.0 -1.5 -1.0 0.58
-45.0 10.5 1.0 0.43
-45.0 15.5 1.0 0.37
5.0 -4.5 -1.0 0.39
35.0 15.5 1.0 0.36
-40.0 -1.5 -1.0 0.36
-5.0 2.5 -1.0 0.65
-30.0 2.5 1.0 0.45
30.0 15.5 1.0 0.45
40.0 2.5 -1.0 0.37
25.0 -1.5 -1.0 0.45
0.0 10.5 1.0 0.40
15.0 -14.5 -1.0 0.38
-10.0 -14.5 -1.0 0.40
0.0 2.5 1.0 0.62
40.0 15.5 1.0 0.37
-35.0 5.5 -1.0 0.46
30.0 -9.5 -1.0 0.43
10.0 -1.5 -1.0 0.44
-5.0 -14.5 -1.0 0.41
40.0 5.5 1.0 1.18
15.0 0.5 -1.0 0.46
30.0 -4.5 -1.0 0.39
-10.0 5.5 1.0 0.46
25.0 -9.5 -1.0 0.37
15.0 -1.5 -1.0 0.40
5.0 0.5 -1.0 0.41
35.0 5.5 1.0 0.58
-10.0 10.5 1.0 0.37
-35.0 -1.5 -1.0 1.02
5.0 -9.5 -1.0 0.36
10.0 5.5 -1.0 0.55
25.0 -4.5 -1.0 0.40
-15.0 -1.5 -1.0 0.46
20.0 10.5 1.0 0.35
-35.0 -9.5 -1.0 0.35
-30.0 -14.5 -1.0 0.36
-40.0 5.5 1.0 0.59
-25.0 0.5 -1.0 0.46
-25.0 15.5 1.0 0.40
-45.0 -4.5 -1.0 0.29
25.0 2.5 -1.0 0.34
5.0 -14.5 -1.0 0.36
-25.0 -1.5 -1.0 0.47
-20.0 2.5 -1.0 0.49
35.0 -1.5 -1.0 0.33
5.0 15.5 1.0 0.37
-10.0 2.5 1.0 0.50
10.0 2.5 -1.0 0.49
-45.0 -1.5 -1.0 0.31
-25.0 -14.5 -1.0 0.35
25.0 15.5 1.0 0.39
-20.0 -4.5 -1.0 0.38
15.0 15.5 1.0 0.38
-15.0 10.5 1.0 0.38
-35.0 15.5 1.0 0.43
10.0 15.5 1.0 0.36
-45.0 -14.5 -1.0 0.33
-45.0 0.5 1.0 0.57
-40.0 15.5 -1.0 0.36
-30.0 -4.5 -1.0 0.40
-35.0 10.5 1.0 0.36
-25.0 -9.5 -1.0 0.38
10.0 -14.5 -1.0 0.35
-5.0 0.5 1.0 0.50
-15.0 0.5 1.0 0.56
-15.0 -9.5 -1.0 0.44
35.0 -9.5 -1.0 0.34
5.0 5.5 1.0 0.44
0.0 -9.5 -1.0 0.43
-40.0 -4.5 -1.0 0.46
-35.0 2.5 -1.0 1.18
25.0 -14.5 -1.0 0.41
-5.0 -1.5 -1.0 0.63
-30.0 15.5 1.0 0.37
25.0 0.5 -1.0 0.44
25.0 10.5 1.0 0.46
-25.0 -4.5 -1.0 0.41
15.0 2.5 -1.0 0.42
-10.0 -9.5 -1.0 0.40
-5.0 -9.5 -1.0 0.42
-15.0 2.5 1.0 0.50
20.0 -1.5 -1.0 0.43
-30.0 -1.5 -1.0 0.60
20.0 2.5 -1.0 0.47
-30.0 0.5 -1.0 0.57
-20.0 10.5 1.0 0.39
-35.0 0.5 1.0 0.52
-15.0 -4.5 -1.0 0.43
30.0 0.5 -1.0 0.40
10.0 10.5 1.0 0.45
-5.0 5.5 1.0 0.46
5.0 2.5 -1.0 0.46
-15.0 -14.5 -1.0 0.37
0.0 -4.5 -1.0 0.47
20.0 15.5 1.0 0.43
0.0 0.5 -1.0 0.50
30.0 5.5 1.0 0.48
35.0 10.5 1.0 0.48
-25.0 5.5 1.0 0.42
15.0 -4.5 -1.0 0.40
15.0 -9.5 -1.0 0.34
-30.0 5.5 -1.0 0.50
-10.0 15.5 1.0 0.45
-45.0 -9.5 -1.0 0.36
-45.0 5.5 -1.0 0.53
10.0 0.5 -1.0 0.40
-15.0 -4.5 -1.0 0.42
5.0 0.5 -1.0 0.36
-20.0 -1.5 -1.0 0.45
-35.0 -1.5 -1.0 0.36
-15.0 -9.5 -1.0 0.37
10.0 10.5 1.0 0.63
-45.0 -14.5 -1.0 0.35
20.0 2.5 -1.0 0.45
-15.0 -14.5 -1.0 0.40
-10.0 0.5 -1.0 0.46
-10.0 -14.5 -1.0 0.40
20.0 -14.5 -1.0 0.40
-15.0 -1.5 1.0 0.53
-35.0 2.5 1.0 0.45
-30.0 10.5 1.0 0.41
25.0 -4.5 -1.0 0.42
30.0 -14.5 -1.0 0.40
-30.0 -1.5 -1.0 0.64
-40.0 -14.5 -1.0 0.33
-10.0 -4.5 1.0 1.09
-45.0 15.5 1.0 0.39
10.0 -9.5 -1.0 0.40
-25.0 5.5 1.0 0.49
-30.0 -14.5 -1.0 0.41
0.0 5.5 1.0 0.40
30.0 5.5 -1.0 0.42
15.0 0.5 1.0 0.43
-25.0 10.5 1.0 0.33
-20.0 2.5 1.0 0.38
20.0 -4.5 -1.0 1.03
-20.0 5.5 1.0 0.41
40.0 5.5 1.0 0.34
40.0 10.5 1.0 0.40
25.0 -14.5 -1.0 0.41
25.0 10.5 1.0 0.42
-5.0 0.5 1.0 0.65
-20.0 10.5 1.0 0.39
-20.0 0.5 1.0 0.40
30.0 15.5 1.0 0.39
-35.0 -14.5 -1.0 0.42
-5.0 5.5 1.0 0.38
35.0 0.5 1.0 0.53
25.0 15.5 1.0 0.43
-40.0 0.5 -1.0 0.80
35.0 5.5 1.0 0.51
25.0 0.5 -1.0 0.47
40.0 -4.5 -1.0 0.37
0.0 2.5 -1.0 0.78
-35.0 15.5 1.0 0.45
30.0 2.5 -1.0 0.42
-10.0 10.5 1.0 0.35
-45.0 -9.5 -1.0 0.37
35.0 2.5 1.0 0.63
-35.0 -4.5 -1.0 0.43
40.0 -14.5 -1.0 0.43
0.0 15.5 1.0 0.38
-25.0 0.5 -1.0 0.39
-35.0 0.5 -1.0 0.30
-30.0 5.5 1.0 0.37
20.0 10.5 1.0 0.51
25.0 -9.5 -1.0 0.34
-45.0 -4.5 -1.0 0.82
-15.0 5.5 1.0 0.61
-15.0 15.5 1.0 0.48
40.0 -9.5 -1.0 0.34
10.0 -14.5 -1.0 0.38
-5.0 -1.5 1.0 0.61
-15.0 0.5 -1.0 0.43
-25.0 -9.5 -1.0 0.40
0.0 0.5 -1.0 1.02
20.0 5.5 -1.0 0.43
20.0 15.5 1.0 0.43
15.0 5.5 -1.0 0.38
5.0 5.5 -1.0 0.55
-40.0 5.5 -1.0 0.42
5.0 -14.5 -1.0 0.39
-20.0 15.5 1.0 0.42
40.0 2.5 -1.0 0.51
0.0 10.5 1.0 0.39
10.0 -1.5 -1.0 0.34
10.0 5.5 -1.0 0.65
0.0 -9.5 -1.0 0.40
-30.0 0.5 -1.0 0.58
-25.0 -1.5 -1.0 0.39
-25.0 -4.5 -1.0 0.35
-40.0 -9.5 -1.0 0.36
5.0 -9.5 -1.0 0.38
-45.0 2.5 1.0 1.38
5.0 15.5 1.0 0.48
-5.0 10.5 1.0 0.55
15.0 10.5 1.0 1.68
-35.0 10.5 1.0 0.56
35.0 -14.5 -1.0 0.32
35.0 -4.5 -1.0 0.37
-45.0 5.5 -1.0 0.51
-5.0 2.5 1.0 0.41
30.0 -1.5 -1.0 0.36
35.0 10.5 -1.0 0.65
-10.0 -9.5 -1.0 0.36
25.0 2.5 -1.0 0.36
0.0 -4.5 -1.0 0.35
-10.0 5.5 1.0 0.48
-25.0 -14.5 -1.0 0.37
-30.0 2.5 1.0 0.53
-45.0 -1.5 -1.0 0.41
10.0 -4.5 -1.0 0.39
5.0 -4.5 -1.0 0.40
0.0 -14.5 -1.0 0.42
20.0 -9.5 -1.0 0.33
40.0 0.5 -1.0 0.43
25.0 5.5 -1.0 0.38
-40.0 15.5 1.0 0.41
20.0 0.5 -1.0 0.38
5.0 -1.5 -1.0 0.39
-5.0 -4.5 -1.0 0.42
-30.0 -9.5 -1.0 0.35
30.0 10.5 1.0 0.46
-45.0 10.5 1.0 0.43
35.0 -1.5 1.0 0.88
10.0 2.5 -1.0 0.36
20.0 -1.5 -1.0 0.36
-10.0 2.5 1.0 0.65
-5.0 -14.5 -1.0 0.34
15.0 -1.5 -1.0 0.39
-10.0 -1.5 1.0 0.53
-40.0 2.5 1.0 0.53
-40.0 -4.5 -1.0 0.43
-5.0 15.5 1.0 0.42
15.0 -14.5 -1.0 0.37
-40.0 10.5 1.0 0.39
35.0 15.5 1.0 0.37
-40.0 -1.5 -1.0 0.48
25.0 -1.5 -1.0 0.44
30.0 -4.5 -1.0 0.36
-35.0 -9.5 -1.0 0.38
15.0 2.5 -1.0 0.43
-10.0 15.5 1.0 0.54
-5.0 -9.5 -1.0 0.40
-15.0 2.5 1.0 0.71
-20.0 -4.5 -1.0 0.32
-30.0 15.5 1.0 0.52
5.0 10.5 1.0 0.55
35.0 -9.5 -1.0 0.42
-15.0 10.5 1.0 0.37
5.0 2.5 1.0 1.06
10.0 15.5 1.0 0.56
30.0 0.5 -1.0 1.17
30.0 -9.5 -1.0 0.47
15.0 15.5 1.0 0.40
0.0 -1.5 1.0 0.74
40.0 -1.5 -1.0 0.73
-45.0 0.5 -1.0 0.49
-20.0 -9.5 -1.0 0.40
-20.0 -14.5 -1.0 0.46
-25.0 2.5 1.0 0.51
-25.0 15.5 1.0 0.42
15.0 -4.5 -1.0 0.35
-30.0 -4.5 -1.0 0.40
40.0 15.5 1.0 0.40
-35.0 5.5 1.0 0.97
15.0 -9.5 -1.0 0.50
30.0 0.5 -1.0 0.49
-40.0 15.5 1.0 0.49
-20.0 15.5 1.0 0.50
-15.0 -1.5 -1.0 0.36
40.0 2.5 -1.0 0.51
-35.0 -4.5 -1.0 0.39
15.0 -14.5 -1.0 0.35
-15.0 15.5 1.0 0.32
25.0 -4.5 -1.0 0.37
15.0 15.5 1.0 0.31
-45.0 -9.5 -1.0 0.35
10.0 -9.5 -1.0 0.34
30.0 2.5 -1.0 0.37
10.0 -4.5 -1.0 0.36
10.0 10.5 1.0 0.31
-35.0 15.5 1.0 0.32
-10.0 -1.5 -1.0 0.37
-5.0 -9.5 -1.0 0.35
-35.0 2.5 -1.0 0.51
-45.0 10.5 1.0 0.69
15.0 0.5 -1.0 0.38
40.0 -1.5 -1.0 0.40
30.0 -9.5 -1.0 0.35
-10.0 10.5 1.0 0.34
30.0 -4.5 -1.0 0.36
-40.0 -1.5 -1.0 0.49
0.0 10.5 1.0 0.37
35.0 0.5 -1.0 0.31
-5.0 5.5 1.0 0.46
20.0 -14.5 -1.0 0.34
30.0 -14.5 -1.0 0.39
40.0 0.5 -1.0 0.37
-35.0 0.5 -1.0 0.41
-5.0 -14.5 -1.0 0.40
-25.0 2.5 -1.0 1.28
-40.0 0.5 -1.0 0.66
-5.0 -4.5 -1.0 0.41
0.0 15.5 1.0 0.38
-20.0 -14.5 -1.0 0.41
5.0 -9.5 -1.0 0.37
-40.0 -14.5 -1.0 0.39
-30.0 0.5 1.0 0.90
25.0 -14.5 -1.0 0.48
0.0 2.5 1.0 0.47
-5.0 15.5 1.0 0.38
5.0 15.5 1.0 0.36
-25.0 -1.5 -1.0 0.46
25.0 5.5 -1.0 0.63
-5.0 10.5 1.0 0.37
15.0 -4.5 -1.0 0.42
5.0 -4.5 -1.0 0.50
20.0 2.5 -1.0 0.47
25.0 -1.5 -1.0 0.33
-15.0 2.5 1.0 0.69
-5.0 0.5 1.0 0.55
5.0 -1.5 -1.0 0.52
-45.0 2.5 -1.0 0.47
40.0 -4.5 -1.0 0.43
-45.0 5.5 1.0 0.83
35.0 -9.5 -1.0 0.44
-40.0 -9.5 -1.0 0.41
-45.0 15.5 1.0 0.34
-30.0 -4.5 -1.0 0.40
5.0 -14.5 -1.0 0.38
20.0 15.5 1.0 0.35
-20.0 10.5 1.0 0.39
-30.0 -1.5 -1.0 0.91
-40.0 5.5 1.0 0.37
-25.0 -9.5 -1.0 0.44
35.0 -1.5 1.0 0.50
30.0 5.5 1.0 0.47
-25.0 5.5 1.0 0.44
20.0 -9.5 -1.0 0.40
-10.0 15.5 1.0 0.38
30.0 -1.5 -1.0 0.31
-25.0 0.5 1.0 0.35
-15.0 0.5 1.0 0.42
-20.0 5.5 1.0 0.38
20.0 -4.5 -1.0 0.38
-15.0 -9.5 -1.0 0.39
25.0 -9.5 -1.0 0.35
-40.0 -4.5 -1.0 0.40
15.0 2.5 -1.0 0.56
10.0 5.5 -1.0 0.44
10.0 0.5 -1.0 0.46
-20.0 -4.5 -1.0 0.43
35.0 10.5 1.0 0.39
-15.0 10.5 1.0 0.34
30.0 10.5 1.0 0.41
-25.0 15.5 1.0 0.37
-35.0 -9.5 -1.0 0.47
-35.0 10.5 1.0 0.41
-30.0 15.5 1.0 0.41
-5.0 -1.5 -1.0 0.70
-40.0 10.5 1.0 0.33
-20.0 0.5 1.0 0.69
35.0 15.5 1.0 0.36
20.0 0.5 -1.0 0.35
0.0 -1.5 -1.0 0.37
-30.0 10.5 1.0 0.38
30.0 15.5 1.0 0.42
25.0 15.5 1.0 0.42
0.0 -4.5 -1.0 0.40
35.0 5.5 -1.0 0.47
40.0 10.5 1.0 0.40
-30.0 -14.5 -1.0 0.38
10.0 15.5 1.0 0.37
-5.0 2.5 1.0 0.52
-10.0 0.5 1.0 0.45
25.0 0.5 -1.0 0.35
10.0 2.5 -1.0 0.47
5.0 5.5 1.0 0.60
15.0 -1.5 -1.0 0.42
-15.0 -4.5 -1.0 0.45
0.0 -9.5 -1.0 0.42
-35.0 -14.5 -1.0 0.39
40.0 -9.5 -1.0 0.36
35.0 -14.5 -1.0 0.36
-30.0 -9.5 -1.0 0.36
-15.0 -14.5 -1.0 0.40
-30.0 5.5 1.0 0.35
40.0 5.5 1.0 0.34
-10.0 -4.5 1.0 0.75
-20.0 -9.5 -1.0 0.62
-35.0 5.5 1.0 0.44
-10.0 2.5 1.0 0.48
10.0 -14.5 -1.0 0.45
40.0 -14.5 -1.0 0.36
15.0 10.5 1.0 0.48
40.0 15.5 1.0 0.42
-10.0 -14.5 -1.0 0.47
5.0 0.5 -1.0 0.67
-45.0 -1.5 -1.0 0.56
-10.0 -9.5 -1.0 0.46
0.0 -14.5 -1.0 0.42
25.0 10.5 1.0 0.36
-20.0 2.5 1.0 0.35
-40.0 2.5 1.0 0.35
25.0 2.5 1.0 0.41
0.0 0.5 1.0 0.37
15.0 -9.5 1.0 0.34
-45.0 0.5 -1.0 0.77
0.0 5.5 1.0 0.46
20.0 5.5 1.0 0.37
15.0 5.5 1.0 0.37
-25.0 -4.5 -1.0 0.42
-45.0 -4.5 -1.0 0.37
20.0 10.5 1.0 0.45
-20.0 -1.5 -1.0 0.47
5.0 10.5 1.0 0.31
-30.0 2.5 1.0 0.45
-25.0 10.5 1.0 0.41
35.0 -4.5 -1.0 0.37
-45.0 -14.5 -1.0 0.35
5.0 2.5 -1.0 0.52
-35.0 -1.5 -1.0 0.50
35.0 2.5 1.0 0.30
-25.0 -14.5 -1.0 0.37
-10.0 5.5 1.0 0.39
10.0 -1.5 -1.0 0.93
-15.0 5.5 1.0 0.34
20.0 -1.5 -1.0 0.80
25.0 -4.5 -1.0 0.68
25.0 -9.5 -1.0 0.44
10.0 0.5 1.0 0.86
-25.0 -4.5 -1.0 0.40
20.0 -14.5 -1.0 0.39
-45.0 -4.5 -1.0 0.60
-25.0 15.5 1.0 0.38
-15.0 -9.5 1.0 0.77
15.0 -4.5 -1.0 0.46
0.0 -14.5 -1.0 0.47
15.0 5.5 1.0 0.89
0.0 -9.5 -1.0 0.45
-40.0 -4.5 1.0 0.58
-5.0 -9.5 -1.0 0.40
-5.0 -4.5 1.0 0.83
35.0 -14.5 -1.0 0.36
5.0 10.5 1.0 0.42
25.0 -1.5 -1.0 0.43
5.0 15.5 1.0 0.38
-25.0 -14.5 -1.0 0.52
-10.0 -9.5 -1.0 0.49
-30.0 15.5 1.0 0.40
-15.0 5.5 -1.0 0.46
20.0 0.5 1.0 1.28
30.0 5.5 1.0 0.69
-45.0 15.5 1.0 0.39
-5.0 10.5 1.0 0.33
-40.0 5.5 1.0 0.42
30.0 -14.5 -1.0 0.39
-35.0 15.5 1.0 0.41
-15.0 -4.5 1.0 0.58
-20.0 5.5 1.0 0.35
40.0 -4.5 1.0 0.42
10.0 -4.5 1.0 0.47
20.0 -9.5 -1.0 0.60
-35.0 -9.5 -1.0 0.43
20.0 2.5 1.0 0.45
15.0 10.5 1.0 0.42
30.0 -9.5 -1.0 0.42
-20.0 -1.5 1.0 0.49
40.0 15.5 1.0 0.63
-40.0 2.5 -1.0 0.40
0.0 2.5 1.0 0.70
-30.0 -9.5 -1.0 0.74
35.0 2.5 1.0 0.67
35.0 -9.5 -1.0 0.36
30.0 15.5 1.0 0.39
35.0 -4.5 -1.0 0.39
5.0 2.5 1.0 0.71
-15.0 10.5 1.0 0.39
-15.0 -1.5 1.0 0.46
-10.0 15.5 1.0 0.41
40.0 -14.5 -1.0 0.47
-20.0 0.5 1.0 0.40
15.0 0.5 1.0 0.50
-30.0 10.5 1.0 0.40
-45.0 0.5 -1.0 0.80
-15.0 0.5 -1.0 0.69
30.0 10.5 1.0 0.41
20.0 -1.5 -1.0 0.43
-40.0 10.5 1.0 0.41
30.0 -4.5 -1.0 0.37
-20.0 -4.5 1.0 0.62
25.0 5.5 1.0 0.39
5.0 -14.5 -1.0 0.41
-25.0 -9.5 -1.0 0.40
35.0 15.5 1.0 0.38
20.0 -4.5 -1.0 0.42
-10.0 2.5 1.0 0.45
-25.0 5.5 1.0 0.40
-30.0 -14.5 -1.0 0.44
25.0 -14.5 -1.0 0.36
25.0 10.5 1.0 0.48
40.0 -9.5 -1.0 0.38
-35.0 -14.5 -1.0 0.44
35.0 5.5 1.0 0.36
10.0 -14.5 -1.0 0.45
-5.0 0.5 1.0 0.64
-45.0 10.5 1.0 0.49
-45.0 -14.5 -1.0 0.41
-35.0 -1.5 1.0 0.72
20.0 15.5 1.0 0.36
15.0 2.5 -1.0 0.59
25.0 2.5 -1.0 0.45
5.0 -4.5 -1.0 0.44
20.0 10.5 1.0 0.48
-5.0 5.5 1.0 0.38
-35.0 2.5 1.0 0.53
-30.0 2.5 1.0 0.38
-35.0 0.5 1.0 0.40
35.0 -1.5 1.0 0.45
5.0 5.5 1.0 0.39
15.0 -1.5 -1.0 0.48
-45.0 2.5 1.0 0.48
40.0 5.5 1.0 0.61
-40.0 -1.5 -1.0 0.45
-15.0 2.5 1.0 0.63
40.0 -1.5 -1.0 0.36
